Transaction unique identifier,Price,Date of Transfer,Property Type,Old/New,Duration,Town/City,District,County,PPDCategory Type,Record Status - monthly file only
{9512836C-3BF0-4A18-8540-3B187D0DBC4F},75000,1995-01-04 00:00,S,N,F,ALDERSHOT,RUSHMOOR,HAMPSHIRE,A,A
{25701C7F-D9C2-4A2C-984A-3B18892B64DD},36500,1995-07-31 00:00,D,N,F,GRANTHAM,SOUTH KESTEVEN,LINCOLNSHIRE,A,A
{5F732ADA-AE64-47FA-8B11-3B1896729A31},157500,1995-05-31 00:00,D,N,F,WARE,EAST HERTFORDSHIRE,HERTFORDSHIRE,A,A
{09146794-A5D5-4C52-8E66-49572C251193},184500,1995-03-22 00:00,D,Y,F,SOLIHULL,SOLIHULL,WEST MIDLANDS,A,A
{FCF5FBAE-CC59-417C-94F2-4957374E5EB4},70000,1995-12-08 00:00,S,Y,F,BANBURY,CHERWELL,OXFORDSHIRE,A,A
{7872E672-F131-4AE2-9926-49575B943C31},104000,1995-04-07 00:00,S,N,F,ENFIELD,ENFIELD,GREATER LONDON,A,A
{E9C2D8D2-F35C-4E27-82AF-42391A048C02},67000,1995-01-24 00:00,S,N,F,KING'S LYNN,KING'S LYNN AND WEST NORFOLK,NORFOLK,A,A
{A692446E-9046-4641-A5C2-3EA987CAFA7D},56000,1995-12-15 00:00,S,N,F,LEEDS,LEEDS,WEST YORKSHIRE,A,A
{532C20F8-8201-49EF-AEA8-3EA99680E3FB},43500,1995-09-29 00:00,T,N,F,STOCKPORT,STOCKPORT,GREATER MANCHESTER,A,A
{5F31B4FC-564E-4021-B643-3EA9986AF985},62000,1995-02-21 00:00,T,N,F,LONDON,BARNET,GREATER LONDON,A,A
{1DC76457-915F-48AB-87A0-3EA9998A60D4},47000,1995-09-18 00:00,T,N,F,LEEDS,LEEDS,WEST YORKSHIRE,A,A
{FFAACBD2-EB5A-4C35-9B0B-3B18CA6FE6C6},79500,1995-09-01 00:00,S,N,F,HULL,THE EAST YORKSHIRE BOROUGH OF BEVERLEY,HUMBERSIDE,A,A
{918ECD7D-1CF7-4E4E-9348-3B18D3F79E75},56750,1995-07-28 00:00,S,N,L,MANCHESTER,SALFORD,GREATER MANCHESTER,A,A
{A19FDDFE-E141-49FD-823A-49578C592A7A},23000,1995-09-26 00:00,T,N,F,NORTHAMPTON,NORTHAMPTON,NORTHAMPTONSHIRE,A,A
{61234766-65EE-413A-8A7C-4239591540AB},69950,1995-07-12 00:00,F,N,L,BUDLEIGH SALTERTON,EAST DEVON,DEVON,A,A
{0C92B547-E1F2-4674-8FE8-42396185D3FC},37950,1995-04-21 00:00,T,N,F,SOWERBY BRIDGE,CALDERDALE,WEST YORKSHIRE,A,A
{84973698-094D-4BBF-B4AE-42396C71AF6E},77495,1995-01-05 00:00,T,N,F,LONDON,WALTHAM FOREST,GREATER LONDON,A,A
{328D4F74-5A78-44CD-9766-42396E90FB79},39000,1995-06-30 00:00,T,N,F,NEWPORT,MEDINA,ISLE OF WIGHT,A,A
{3A10938D-F1C0-47F5-B3BE-423985ABA952},92500,1995-06-30 00:00,S,N,F,BUSHEY,HERTSMERE,HERTFORDSHIRE,A,A
{E9B43BCF-A64C-4B1B-98D6-4239956F2F2A},255000,1995-06-30 00:00,D,Y,F,BRISTOL,WOODSPRING,AVON,A,A
{2BEAB69F-2BCD-4D62-B045-423996DE623F},50000,1995-10-16 00:00,D,N,F,NOTTINGHAM,RUSHCLIFFE,NOTTINGHAMSHIRE,A,A
{A72A25BB-4A92-4975-A04A-45C8F7887CDD},26900,1995-10-20 00:00,T,N,F,GUISBOROUGH,LANGBAURGH-ON-TEES,CLEVELAND,A,A
{31F5D8BC-EE7B-4B90-8CC9-45C91BFE89C1},130500,1995-06-21 00:00,D,N,F,ST. ALBANS,ST ALBANS,HERTFORDSHIRE,A,A
{B9768969-67A6-4144-8AB4-45C92F592729},35000,1995-11-24 00:00,S,N,F,SWANSEA,LLIW VALLEY,WEST GLAMORGAN,A,A
{11235ABE-338B-4AD5-AFC4-3EA9B7670E08},60000,1995-08-25 00:00,D,Y,F,MIDDLESBROUGH,MIDDLESBROUGH,MIDDLESBROUGH,A,A
{CF446A06-6347-4C7D-8CCE-3EA9BD5F9685},34000,1995-12-01 00:00,T,N,F,CONGLETON,CONGLETON,CHESHIRE,A,A
{AC95B43C-B2E9-4CD8-A3C1-3EA9C7CD0913},127500,1995-12-15 00:00,S,N,F,WIRRAL,WIRRAL,MERSEYSIDE,A,A
{44B8F66A-BA66-4FC8-B087-3EA9E0299126},72000,1995-04-03 00:00,S,N,F,SWANSEA,LLIW VALLEY,WEST GLAMORGAN,A,A
{4A586127-853E-4750-AD73-3EA9E30DC52B},115000,1995-05-09 00:00,S,N,F,ORPINGTON,BROMLEY,GREATER LONDON,A,A
